time,beam,diff,total
2021-01-01 0:00,0,0,0
2021-01-01 1:00,0,0,0
2021-01-01 2:00,0,0,0
2021-01-01 3:00,0,0,0
2021-01-01 4:00,0,0,0
2021-01-01 5:00,0,0,0
2021-01-01 6:00,0,0,0
2021-01-01 7:00,0,0,0
2021-01-01 8:00,0,0,0
2021-01-01 9:00,29.95297161,39.5838456,69.5368172
2021-01-01 10:00,125.9706919,69.17734444,195.1480363
2021-01-01 11:00,232.110729,82.34109834,314.4518274
2021-01-01 12:00,306.3877933,88.39511359,394.7829069
2021-01-01 13:00,332.6392775,90.19043898,422.8297165
2021-01-01 14:00,306.3877933,88.39511359,394.7829069
2021-01-01 15:00,232.110729,82.34109834,314.4518274
2021-01-01 16:00,125.9706919,69.17734444,195.1480363
2021-01-01 17:00,29.95297161,39.5838456,69.5368172
2021-01-01 18:00,0,0,0
2021-01-01 19:00,0,0,0
2021-01-01 20:00,0,0,0
2021-01-01 21:00,0,0,0
2021-01-01 22:00,0,0,0
2021-01-01 23:00,0,0,0
2021-01-02 0:00,0,0,0
2021-01-02 1:00,0,0,0
2021-01-02 2:00,0,0,0
2021-01-02 3:00,0,0,0
2021-01-02 4:00,0,0,0
2021-01-02 5:00,0,0,0
2021-01-02 6:00,0,0,0
2021-01-02 7:00,0,0,0
2021-01-02 8:00,0,0,0
2021-01-02 9:00,30.35122864,39.85387156,70.2051002
2021-01-02 10:00,126.8831652,69.3300696,196.2132348
2021-01-02 11:00,233.266429,82.44831098,315.7147399
2021-01-02 12:00,307.6593582,88.48460378,396.143962
2021-01-02 13:00,333.94619,90.27511087,424.2213008
2021-01-02 14:00,307.6593582,88.48460378,396.143962
2021-01-02 15:00,233.266429,82.44831098,315.7147399
2021-01-02 16:00,126.8831652,69.3300696,196.2132348
2021-01-02 17:00,30.35122864,39.85387156,70.2051002
2021-01-02 18:00,0,0,0
2021-01-02 19:00,0,0,0
2021-01-02 20:00,0,0,0
2021-01-02 21:00,0,0,0
2021-01-02 22:00,0,0,0
2021-01-02 23:00,0,0,0
2021-01-03 0:00,0,0,0
2021-01-03 1:00,0,0,0
2021-01-03 2:00,0,0,0
2021-01-03 3:00,0,0,0
2021-01-03 4:00,0,0,0
2021-01-03 5:00,0,0,0
2021-01-03 6:00,0,0,0
2021-01-03 7:00,0,0,0
2021-01-03 8:00,0,0,0
2021-01-03 9:00,30.78681766,40.14482856,70.93164622
2021-01-03 10:00,127.873049,69.49417059,197.3672196
2021-01-03 11:00,234.5176401,82.56328735,317.0809275
2021-01-03 12:00,309.034918,88.58043811,397.6153562
2021-01-03 13:00,335.3596644,90.36573876,425.7254031
2021-01-03 14:00,309.034918,88.58043811,397.6153562
2021-01-03 15:00,234.5176401,82.56328735,317.0809275
2021-01-03 16:00,127.873049,69.49417059,197.3672196
