time,beam,diff,total,n,B,G_on,solar_time,hour_angle,declination,cos_zen
2021-01-01 0:00,0,0,0,1,0,1412.104316,2020-12-31 23:29,172.2958333,-23.01163673,-0.961321933
2021-01-01 1:00,0,0,0,1,0,1412.104316,2021-01-01 0:29,-172.7041667,-23.01163673,-0.9620006
2021-01-01 2:00,0,0,0,1,0,1412.104316,2021-01-01 1:29,-157.7041667,-23.01163673,-0.913362696
2021-01-01 3:00,0,0,0,1,0,1412.104316,2021-01-01 2:29,-142.7041667,-23.01163673,-0.818722815
2021-01-01 4:00,0,0,0,1,0,1412.104316,2021-01-01 3:29,-127.7041667,-23.01163673,-0.684530506
2021-01-01 5:00,0,0,0,1,0,1412.104316,2021-01-01 4:29,-112.7041667,-23.01163673,-0.519930756
2021-01-01 6:00,0,0,0,1,0,1412.104316,2021-01-01 5:29,-97.70416667,-23.01163673,-0.336140763
2021-01-01 7:00,0,0,0,1,0,1412.104316,2021-01-01 6:29,-82.70416667,-23.01163673,-0.145685513
2021-01-01 8:00,7.16897264,12.60859158,19.77756422,1,0,1412.104316,2021-01-01 7:29,-67.70416667,-23.01163673,0.038455783
2021-01-01 9:00,70.84461692,57.13674186,127.9813588,1,0,1412.104316,2021-01-01 8:29,-52.70416667,-23.01163673,0.203734202
2021-01-01 10:00,179.8494539,76.80935767,256.6588115,1,0,1412.104316,2021-01-01 9:29,-37.70416667,-23.01163673,0.338886291
2021-01-01 11:00,273.5699236,85.92219048,359.4921141,1,0,1412.104316,2021-01-01 10:29,-22.70416667,-23.01163673,0.434701659
2021-01-01 12:00,325.6458439,89.72636221,415.3722061,1,0,1412.104316,2021-01-01 11:29,-7.704166667,-23.01163673,0.484650647
2021-01-01 13:00,326.3652814,89.77456022,416.1398416,1,0,1412.104316,2021-01-01 12:29,7.295833333,-23.01163673,0.485329314
2021-01-01 14:00,275.6088317,86.08419038,361.6930221,1,0,1412.104316,2021-01-01 13:29,22.29583333,-23.01163673,0.436691411
2021-01-01 15:00,182.7812314,77.15868942,259.9399208,1,0,1412.104316,2021-01-01 14:29,37.29583333,-23.01163673,0.342051529
